"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 27 15:22:50 GMT 2024","Sun Oct 27 15:22:51 GMT 2024","138","api","tests/example.spec.ts","API tests","","","GET check method delete",""
"passed","Sun Oct 27 15:22:50 GMT 2024","Sun Oct 27 15:22:50 GMT 2024","146","api","tests/example.spec.ts","API tests","","","GET /hello with QS",""
"passed","Sun Oct 27 15:22:59 GMT 2024","Sun Oct 27 15:22:59 GMT 2024","177","api","tests/framework.spec.ts","API tests","","","GET check method get",""
"passed","Sun Oct 27 15:22:56 GMT 2024","Sun Oct 27 15:22:59 GMT 2024","2230","api","tests/fixture.spec.ts","AUTH","","","GET /user/:id",""
"passed","Sun Oct 27 15:23:00 GMT 2024","Sun Oct 27 15:23:01 GMT 2024","1695","api","tests/framework.spec.ts","AUTH","","","GET /auth",""
"passed","Sun Oct 27 15:22:51 GMT 2024","Sun Oct 27 15:22:51 GMT 2024","140","api","tests/example.spec.ts","API tests","","","GET check method patch",""
"passed","Sun Oct 27 15:23:01 GMT 2024","Sun Oct 27 15:23:04 GMT 2024","2206","api","tests/framework.spec.ts","AUTH","","","GET /user/:id",""
"passed","Sun Oct 27 15:22:55 GMT 2024","Sun Oct 27 15:22:56 GMT 2024","1719","api","tests/fixture.spec.ts","AUTH","","","GET /auth",""
"passed","Sun Oct 27 15:22:50 GMT 2024","Sun Oct 27 15:22:50 GMT 2024","141","api","tests/example.spec.ts","API tests","","","GET check method post",""
"passed","Sun Oct 27 15:22:59 GMT 2024","Sun Oct 27 15:23:00 GMT 2024","142","api","tests/framework.spec.ts","API tests","","","GET check method patch",""
"passed","Sun Oct 27 15:22:59 GMT 2024","Sun Oct 27 15:22:59 GMT 2024","143","api","tests/framework.spec.ts","API tests","","","GET /hello",""
"passed","Sun Oct 27 15:22:59 GMT 2024","Sun Oct 27 15:22:59 GMT 2024","138","api","tests/framework.spec.ts","API tests","","","GET check method post",""
"passed","Sun Oct 27 15:22:59 GMT 2024","Sun Oct 27 15:22:59 GMT 2024","141","api","tests/framework.spec.ts","API tests","","","GET check method delete",""
"passed","Sun Oct 27 15:22:49 GMT 2024","Sun Oct 27 15:22:50 GMT 2024","727","api","tests/example.spec.ts","API tests","","","GET /hello",""
"passed","Sun Oct 27 15:22:59 GMT 2024","Sun Oct 27 15:22:59 GMT 2024","138","api","tests/framework.spec.ts","API tests","","","GET /get500",""
"passed","Sun Oct 27 15:22:52 GMT 2024","Sun Oct 27 15:22:55 GMT 2024","2194","api","tests/example.spec.ts","AUTH","","","get user",""
"passed","Sun Oct 27 15:22:51 GMT 2024","Sun Oct 27 15:22:52 GMT 2024","1704","api","tests/example.spec.ts","AUTH","","","Auth with correct credentials",""
"passed","Sun Oct 27 15:22:50 GMT 2024","Sun Oct 27 15:22:50 GMT 2024","143","api","tests/example.spec.ts","API tests","","","GET /get_500",""
"passed","Sun Oct 27 15:22:50 GMT 2024","Sun Oct 27 15:22:50 GMT 2024","156","api","tests/example.spec.ts","API tests","","","GET check method get",""
